waterway,sitecode,sitename,waterbodytype,latitude,longitude
South Maroochy River,SMA346,"Shamley Heath Rd, Kureelpa",Lowland Freshwater,-26.610972,152.889833
South Maroochy River,SMA409,"Downstream Kiamba Bridge, Sth Maroochy",Lowland Freshwater,-26.57,152.904694
South Maroochy River,SMA500,"Waterfall Rd, directly above Wappa Falls",Lowland Freshwater,-26.571953,152.921967
South Maroochy River,SMA645,"Andersons Rd (Richards' Property), Yandina",Lowland Freshwater,-26.566284,152.936073
South Maroochy River,SMA700,"Coleman's Farm Rd, Yandina",Lowland Freshwater,-26.563417,152.939
South Maroochy River,SMA810,"James Low Footbridge, Yandina",Lowland Freshwater,-26.565528,152.956028
South Maroochy River,SMA953,"Vee Rd, Yandina",Upper Estuary,-26.560361,152.963694
Stumers Creek,STU050,"Yangar Street, Coolum (left of house number 17)",Lowland Freshwater,-26.536861,153.083222
Stumers Creek,STU100,"Coolum/Yandina Road Bridge, Coolum",Wetland,-26.535944,153.079333
Stumers Creek,STU250,"Cinnamon Ave, Coolum",Wetland,-26.525389,153.082167
Stumers Creek,STU424,"Stumers Ck, David Low Way Bridge",Wetland,-26.520111,153.0895
Stumers Creek,STU450,"Stumers Creek Rd (opposite Beach Access 71), Coolum",Wetland,-26.521361,153.09125
Stumers Creek,STU510,Tributary at Lions Park Coolum,Lowland Freshwater,-26.525611,153.090583
Stumers Creek,STU525,Stumers Ck Mouth,Lower Estuary,-26.517789,153.092194
Stumers Creek,STU530,"Emu Mountain Tributary at Mouth, Coolum",Lower Estuary,-26.517222,153.091444
Stumers Creek,STU700,"Coolum Peregian Sports Complex, David Low Way Coolum",Wetland,-26.514222,153.088139
South Maroochy River,TIN500,"Tinkettle Ck, Hereford Dr, Kureelpa",Lowland Freshwater,-26.611722,152.910056
Petrie Creek,TUC100,"Bottom of Bradfords, Tucker's Ck",Lowland Freshwater,-26.616306,152.941389
Petrie Creek,TUC101,"Cilento Park, Top of Falls, Nambour Tucker's Ck",Lowland Freshwater,-26.61375,152.951583
Petrie Creek,TUC120,"Image Flat Rd, Nambour",Lowland Freshwater,-26.613611,152.943889
Tuckers Creek,TUC121,"Impression Drive Pool, Nambour",Lowland Freshwater,-26.613489,152.944595
Petrie Creek,TUC130,"David Evans Footbridge, Nambour Connection Road Nambour",Lowland Freshwater,-26.611166,152.972033
Petrie Creek,TUC140,"Council Depot, Nambour Connection Road Nambour",Lowland Freshwater,-26.614361,152.970611
Petrie Creek,WHA320,"68a Perwillowen Rd, Burnside",Lowland Freshwater,-26.633278,152.949833
